stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type
ST_CENTRAL,MAS,Chennai Central (சென்னை சென்ட்ரல்),Puratchi Thalaivar Dr. MGR Central Hub,13.082700,80.275400,ZONE_1,0
ST_EGMORE,MS,Chennai Egmore (சென்னை எழும்பூர்),Egmore Railway & Metro Station,13.078000,80.261000,ZONE_1,0
ST_NEHRU_PARK,NPK,Nehru Park (நேரு பூங்கா),Poonamallee High Road,13.079000,80.251000,ZONE_1,0
ST_KILPAUK,KPK,Kilpauk (கீழ்ப்பாக்கம்),Kilpauk Medical College,13.078000,80.241000,ZONE_1,0
ST_SHENOY_NAGAR,SNN,Shenoy Nagar (ஷெனாய் நகர்),Thiru Vi Ka Park,13.077000,80.228000,ZONE_1,0
ST_ANNA_NAGAR_E,ANE,Anna Nagar East (அண்ணா நகர் கிழக்கு),Roundtana,13.084000,80.219000,ZONE_1,0
ST_TIRUMANGALAM,TMG,Tirumangalam (திருமங்கலம்),Junction 100ft Road,13.085000,80.199000,ZONE_1,0
ST_CMBT,CMBT,Koyambedu CMBT (கோயம்பேடு),Chennai Mofussil Bus Terminus,13.069000,80.194000,ZONE_1,0
ST_GOVT_ESTATE,GVE,Government Estate (அரசு எஸ்டேட்),Omandurar Government Estate,13.069400,80.272100,ZONE_1,0
ST_LIC,LIC,LIC (எல்.ஐ.சி),Anna Salai LIC Building,13.062500,80.266200,ZONE_1,0
ST_1000_LIGHTS,TLS,Thousand Lights (ஆயிரம் விளக்கு),Anna Salai Thousand Lights,13.056000,80.252000,ZONE_1,0
ST_AG_DMS,DMS,AG-DMS (ஏ.ஜி - டி.எம்.எஸ்),DMS Campus Anna Salai,13.045000,80.248000,ZONE_1,0
ST_TEYNAMPET,TYP,Teynampet (தேனாம்பேட்டை),Eldams Road Junction,13.039000,80.246000,ZONE_1,0
ST_NANDANAM,NDM,Nandanam (நந்தனம்),Chamiers Road Junction,13.031000,80.241000,ZONE_1,0
ST_SAIDAPET,SDP,Saidapet (சைதாப்பேட்டை),Saidapet Court Anna Salai,13.023000,80.228000,ZONE_1,0
ST_GUINDY,GDY,Guindy (கிண்டி),Guindy Industrial Estate / Station,13.009000,80.213000,ZONE_1,0
ST_AIRPORT,MAA,Chennai Airport (விமான நிலையம்),Chennai International Airport,12.978000,80.164000,ZONE_1,0
ST_TNAGAR,TNG,T. Nagar (தியாகராய நகர்),Panagal Park South Usman Road,13.040200,80.233700,ZONE_1,0
ST_ADYAR,ADY,Adyar Depot (அடையாறு பணிமனை),L.B. Road Adyar,12.997800,80.256200,ZONE_1,0
ST_BESANT_NAGAR,BSN,Besant Nagar (பெசன்ட் நகர்),Elliot Beach Bus Terminus,12.999000,80.271000,ZONE_1,0
ST_MARINA,MRN,Marina Beach Anna Square (மெரினா அண்ணா சதுக்கம்),Kamarajar Salai Marina,13.063000,80.283000,ZONE_1,0
ST_PERAMBUR,PRB,Perambur (பெரம்பூர்),Perambur Bus Stand & Railway Station,13.111000,80.243000,ZONE_1,0
ST_HIGH_COURT,HCT,High Court (உயர் நீதிமன்றம்),Parrys Corner High Court,13.088000,80.288000,ZONE_1,0
ST_VADAPALANI,VDP,Vadapalani (வடபழனி),100ft Road Vadapalani Junction,13.052000,80.212000,ZONE_1,0
ST_VELACHERY,VLC,Velachery (வேளச்சேரி),Vijayanagar Velachery Bus Stand,12.975000,80.221000,ZONE_1,0
ST_FORT,MSF,Chennai Fort (சென்னை கோட்டை),Fort Suburban Station,13.083000,80.283000,ZONE_1,0
ST_MAMBALAM,MBM,Mambalam (மாம்பலம்),Mambalam Railway Station T. Nagar,13.036000,80.229500,ZONE_1,0
ST_TAMBARAM,TBM,Tambaram (தாம்பரம்),Tambaram Railway Terminus,12.924900,80.120000,ZONE_1,0
ST_GUINDY_SUB,GDYS,Guindy Suburban (கிண்டி புறநகர்),Guindy Railway Station Interchange,13.008500,80.213500,ZONE_1,0
ST_CHEPAUK,MCPK,Chepauk MRTS (சேப்பாக்கம்),Chepauk Stadium MRTS,13.064500,80.281500,ZONE_1,0
ST_KASTURBA_NAGAR,KTBR,Kasturba Nagar MRTS (கஸ்தூரிபா நகர்),Adyar Kasturba Nagar MRTS Station,13.006500,80.252000,ZONE_1,0
