shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SHP_CMRL_BLUE_0,13.082700,80.275400,1
SHP_CMRL_BLUE_0,13.078311,80.274311,2
SHP_CMRL_BLUE_0,13.073922,80.273222,3
SHP_CMRL_BLUE_0,13.069400,80.272100,4
SHP_CMRL_BLUE_0,13.067123,80.270153,5
SHP_CMRL_BLUE_0,13.064846,80.268206,6
SHP_CMRL_BLUE_0,13.062500,80.266200,7
SHP_CMRL_BLUE_0,13.060355,80.261514,8
SHP_CMRL_BLUE_0,13.058210,80.256828,9
SHP_CMRL_BLUE_0,13.056000,80.252000,10
SHP_CMRL_BLUE_0,13.052370,80.250680,11
SHP_CMRL_BLUE_0,13.048740,80.249360,12
SHP_CMRL_BLUE_0,13.045000,80.248000,13
SHP_CMRL_BLUE_0,13.043020,80.247340,14
SHP_CMRL_BLUE_0,13.041040,80.246680,15
SHP_CMRL_BLUE_0,13.039000,80.246000,16
SHP_CMRL_BLUE_0,13.036360,80.244350,17
SHP_CMRL_BLUE_0,13.033720,80.242700,18
SHP_CMRL_BLUE_0,13.031000,80.241000,19
SHP_CMRL_BLUE_0,13.028360,80.236710,20
SHP_CMRL_BLUE_0,13.025720,80.232420,21
SHP_CMRL_BLUE_0,13.023000,80.228000,22
SHP_CMRL_BLUE_0,13.018380,80.223050,23
SHP_CMRL_BLUE_0,13.013760,80.218100,24
SHP_CMRL_BLUE_0,13.009000,80.213000,25
SHP_CMRL_BLUE_0,12.998770,80.196830,26
SHP_CMRL_BLUE_0,12.988540,80.180660,27
SHP_CMRL_BLUE_0,12.978000,80.164000,28
SHP_CMRL_BLUE_1,12.978000,80.164000,1
SHP_CMRL_BLUE_1,12.988230,80.180170,2
SHP_CMRL_BLUE_1,12.998460,80.196340,3
SHP_CMRL_BLUE_1,13.009000,80.213000,4
SHP_CMRL_BLUE_1,13.013620,80.217950,5
SHP_CMRL_BLUE_1,13.018240,80.222900,6
SHP_CMRL_BLUE_1,13.023000,80.228000,7
SHP_CMRL_BLUE_1,13.025640,80.232290,8
SHP_CMRL_BLUE_1,13.028280,80.236580,9
SHP_CMRL_BLUE_1,13.031000,80.241000,10
SHP_CMRL_BLUE_1,13.033640,80.242650,11
SHP_CMRL_BLUE_1,13.036280,80.244300,12
SHP_CMRL_BLUE_1,13.039000,80.246000,13
SHP_CMRL_BLUE_1,13.040980,80.246660,14
SHP_CMRL_BLUE_1,13.042960,80.247320,15
SHP_CMRL_BLUE_1,13.045000,80.248000,16
SHP_CMRL_BLUE_1,13.048630,80.249320,17
SHP_CMRL_BLUE_1,13.052260,80.250640,18
SHP_CMRL_BLUE_1,13.056000,80.252000,19
SHP_CMRL_BLUE_1,13.058145,80.256686,20
SHP_CMRL_BLUE_1,13.060290,80.261372,21
