trip_id,arrival_time,departure_time,stop_id,stop_sequence
TRIP_CMRL_BLUE_0_0001,06:00:00,06:00:00,ST_CENTRAL,1
TRIP_CMRL_BLUE_0_0001,06:03:00,06:03:00,ST_GOVT_ESTATE,2
TRIP_CMRL_BLUE_0_0001,06:05:00,06:05:00,ST_LIC,3
TRIP_CMRL_BLUE_0_0001,06:08:00,06:08:00,ST_1000_LIGHTS,4
TRIP_CMRL_BLUE_0_0001,06:11:00,06:11:00,ST_AG_DMS,5
TRIP_CMRL_BLUE_0_0001,06:13:00,06:13:00,ST_TEYNAMPET,6
TRIP_CMRL_BLUE_0_0001,06:15:00,06:15:00,ST_NANDANAM,7
TRIP_CMRL_BLUE_0_0001,06:18:00,06:18:00,ST_SAIDAPET,8
TRIP_CMRL_BLUE_0_0001,06:22:00,06:22:00,ST_GUINDY,9
TRIP_CMRL_BLUE_0_0001,06:30:00,06:30:00,ST_AIRPORT,10
TRIP_CMRL_BLUE_0_0002,06:10:00,06:10:00,ST_CENTRAL,1
TRIP_CMRL_BLUE_0_0002,06:13:00,06:13:00,ST_GOVT_ESTATE,2
TRIP_CMRL_BLUE_0_0002,06:15:00,06:15:00,ST_LIC,3
TRIP_CMRL_BLUE_0_0002,06:18:00,06:18:00,ST_1000_LIGHTS,4
TRIP_CMRL_BLUE_0_0002,06:21:00,06:21:00,ST_AG_DMS,5
TRIP_CMRL_BLUE_0_0002,06:23:00,06:23:00,ST_TEYNAMPET,6
TRIP_CMRL_BLUE_0_0002,06:25:00,06:25:00,ST_NANDANAM,7
TRIP_CMRL_BLUE_0_0002,06:28:00,06:28:00,ST_SAIDAPET,8
TRIP_CMRL_BLUE_0_0002,06:32:00,06:32:00,ST_GUINDY,9
TRIP_CMRL_BLUE_0_0002,06:40:00,06:40:00,ST_AIRPORT,10
TRIP_CMRL_BLUE_0_0003,06:20:00,06:20:00,ST_CENTRAL,1
TRIP_CMRL_BLUE_0_0003,06:23:00,06:23:00,ST_GOVT_ESTATE,2
TRIP_CMRL_BLUE_0_0003,06:25:00,06:25:00,ST_LIC,3
TRIP_CMRL_BLUE_0_0003,06:28:00,06:28:00,ST_1000_LIGHTS,4
TRIP_CMRL_BLUE_0_0003,06:31:00,06:31:00,ST_AG_DMS,5
TRIP_CMRL_BLUE_0_0003,06:33:00,06:33:00,ST_TEYNAMPET,6
TRIP_CMRL_BLUE_0_0003,06:35:00,06:35:00,ST_NANDANAM,7
TRIP_CMRL_BLUE_0_0003,06:38:00,06:38:00,ST_SAIDAPET,8
TRIP_CMRL_BLUE_0_0003,06:42:00,06:42:00,ST_GUINDY,9
TRIP_CMRL_BLUE_0_0003,06:50:00,06:50:00,ST_AIRPORT,10
TRIP_CMRL_BLUE_0_0004,06:30:00,06:30:00,ST_CENTRAL,1
TRIP_CMRL_BLUE_0_0004,06:33:00,06:33:00,ST_GOVT_ESTATE,2
TRIP_CMRL_BLUE_0_0004,06:35:00,06:35:00,ST_LIC,3
TRIP_CMRL_BLUE_0_0004,06:38:00,06:38:00,ST_1000_LIGHTS,4
TRIP_CMRL_BLUE_0_0004,06:41:00,06:41:00,ST_AG_DMS,5
TRIP_CMRL_BLUE_0_0004,06:43:00,06:43:00,ST_TEYNAMPET,6
TRIP_CMRL_BLUE_0_0004,06:45:00,06:45:00,ST_NANDANAM,7
TRIP_CMRL_BLUE_0_0004,06:48:00,06:48:00,ST_SAIDAPET,8
TRIP_CMRL_BLUE_0_0004,06:52:00,06:52:00,ST_GUINDY,9
TRIP_CMRL_BLUE_0_0004,07:00:00,07:00:00,ST_AIRPORT,10
TRIP_CMRL_BLUE_0_0005,06:40:00,06:40:00,ST_CENTRAL,1
TRIP_CMRL_BLUE_0_0005,06:43:00,06:43:00,ST_GOVT_ESTATE,2
TRIP_CMRL_BLUE_0_0005,06:45:00,06:45:00,ST_LIC,3
TRIP_CMRL_BLUE_0_0005,06:48:00,06:48:00,ST_1000_LIGHTS,4
TRIP_CMRL_BLUE_0_0005,06:51:00,06:51:00,ST_AG_DMS,5
TRIP_CMRL_BLUE_0_0005,06:53:00,06:53:00,ST_TEYNAMPET,6
TRIP_CMRL_BLUE_0_0005,06:55:00,06:55:00,ST_NANDANAM,7
TRIP_CMRL_BLUE_0_0005,06:58:00,06:58:00,ST_SAIDAPET,8
TRIP_CMRL_BLUE_0_0005,07:02:00,07:02:00,ST_GUINDY,9
TRIP_CMRL_BLUE_0_0005,07:10:00,07:10:00,ST_AIRPORT,10
TRIP_CMRL_BLUE_0_0006,06:50:00,06:50:00,ST_CENTRAL,1
TRIP_CMRL_BLUE_0_0006,06:53:00,06:53:00,ST_GOVT_ESTATE,2
TRIP_CMRL_BLUE_0_0006,06:55:00,06:55:00,ST_LIC,3
TRIP_CMRL_BLUE_0_0006,06:58:00,06:58:00,ST_1000_LIGHTS,4
TRIP_CMRL_BLUE_0_0006,07:01:00,07:01:00,ST_AG_DMS,5
TRIP_CMRL_BLUE_0_0006,07:03:00,07:03:00,ST_TEYNAMPET,6
TRIP_CMRL_BLUE_0_0006,07:05:00,07:05:00,ST_NANDANAM,7
TRIP_CMRL_BLUE_0_0006,07:08:00,07:08:00,ST_SAIDAPET,8
TRIP_CMRL_BLUE_0_0006,07:12:00,07:12:00,ST_GUINDY,9
TRIP_CMRL_BLUE_0_0006,07:20:00,07:20:00,ST_AIRPORT,10
TRIP_CMRL_BLUE_0_0007,07:00:00,07:00:00,ST_CENTRAL,1
TRIP_CMRL_BLUE_0_0007,07:03:00,07:03:00,ST_GOVT_ESTATE,2
TRIP_CMRL_BLUE_0_0007,07:05:00,07:05:00,ST_LIC,3
TRIP_CMRL_BLUE_0_0007,07:08:00,07:08:00,ST_1000_LIGHTS,4
TRIP_CMRL_BLUE_0_0007,07:11:00,07:11:00,ST_AG_DMS,5
TRIP_CMRL_BLUE_0_0007,07:13:00,07:13:00,ST_TEYNAMPET,6
TRIP_CMRL_BLUE_0_0007,07:15:00,07:15:00,ST_NANDANAM,7
TRIP_CMRL_BLUE_0_0007,07:18:00,07:18:00,ST_SAIDAPET,8
TRIP_CMRL_BLUE_0_0007,07:22:00,07:22:00,ST_GUINDY,9
TRIP_CMRL_BLUE_0_0007,07:30:00,07:30:00,ST_AIRPORT,10
TRIP_CMRL_BLUE_0_0008,07:10:00,07:10:00,ST_CENTRAL,1
TRIP_CMRL_BLUE_0_0008,07:13:00,07:13:00,ST_GOVT_ESTATE,2
TRIP_CMRL_BLUE_0_0008,07:15:00,07:15:00,ST_LIC,3
TRIP_CMRL_BLUE_0_0008,07:18:00,07:18:00,ST_1000_LIGHTS,4
TRIP_CMRL_BLUE_0_0008,07:21:00,07:21:00,ST_AG_DMS,5
TRIP_CMRL_BLUE_0_0008,07:23:00,07:23:00,ST_TEYNAMPET,6
TRIP_CMRL_BLUE_0_0008,07:25:00,07:25:00,ST_NANDANAM,7
TRIP_CMRL_BLUE_0_0008,07:28:00,07:28:00,ST_SAIDAPET,8
TRIP_CMRL_BLUE_0_0008,07:32:00,07:32:00,ST_GUINDY,9
TRIP_CMRL_BLUE_0_0008,07:40:00,07:40:00,ST_AIRPORT,10
TRIP_CMRL_BLUE_0_0009,07:20:00,07:20:00,ST_CENTRAL,1
